FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,5,9,17,4,4,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\AllocateDirectHexTest.java,AllocateDirectHexTest.java,AllocateDirectHexTest,1,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,9,18,64,18,14,4,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16OutputStreamTest.java,Base16OutputStreamTest.java,Base16OutputStreamTest,7,10,36,10,6,4,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16Test.java,Base16Test.java,Base16Test,14,34,324,32,31,1,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base32InputStreamTest.java,Base32InputStreamTest.java,Base32InputStreamTest,12,21,91,21,18,3,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base32OutputStreamTest.java,Base32OutputStreamTest.java,Base32OutputStreamTest,9,11,57,11,8,3,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base32Test.java,Base32Test.java,Base32Test,15,35,132,34,32,2,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base64Codec13Test.java,Base64Codec13Test.java,Base64Codec13Test,9,12,307,8,8,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base64InputStreamTest.java,Base64InputStreamTest.java,Base64InputStreamTest,14,25,118,25,22,3,true,true,false,false,false,false,false,false,false,false
