FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,checkEncoding,1,2,void,public,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,checkEncodings,1,1,void,protected,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,checkEncodingVariations,1,2,void,protected,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,createStringEncoder,0,0,T,protected; abstract,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,getStringEncoder,1,0,T,public,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,testEncodeEmpty,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,testEncodeNull,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,testEncodeWithInvalidObject,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,AbstractStringEncoderTest.java,AbstractStringEncoderTest,testLocaleIndependence,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\AllocateDirectHexTest.java,AllocateDirectHexTest.java,AllocateDirectHexTest,allocate,1,1,ByteBuffer,protected,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testAvailable,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testBase16EmptyInputStream,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testBase16InputStreamByChunk,11,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testBase16InputStreamByteByByte,11,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testBuilder,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testByChunk,1,2,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testByChunk,3,3,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testByteByByte,1,2,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testByteByByte,4,3,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testMarkSupported,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testRead0,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testReadNull,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testReadOutOfBounds,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testSkipBig,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testSkipNone,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testSkipPastEnd,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testSkipToEnd,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,Base16InputStreamTest.java,Base16InputStreamTest,testSkipWrongArgument,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16OutputStreamTest.java,Base16OutputStreamTest.java,Base16OutputStreamTest,testBase16EmptyOutputStream,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16OutputStreamTest.java,Base16OutputStreamTest.java,Base16OutputStreamTest,testBase16OutputStreamByChunk,8,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16OutputStreamTest.java,Base16OutputStreamTest.java,Base16OutputStreamTest,testBase16OutputStreamByteByByte,8,0,void,,true,true,true,true
