TestFilePath,ProductionFilePath
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\AbstractStringEncoderTest.java,
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\AllocateDirectHexTest.java,
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16InputStreamTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base16InputStream.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16OutputStreamTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base16OutputStream.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base16Test.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base16.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base32InputStreamTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base32InputStream.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base32OutputStreamTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base32OutputStream.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base32Test.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base32.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base64Codec13Test.java,
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base64InputStreamTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base64InputStream.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base64OutputStreamTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base64OutputStream.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\Base64Test.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Base64.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\BaseNCodecTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\BaseNCodec.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\BinaryCodecTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\BinaryCodec.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\CharSequenceUtilsTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\CharSequenceUtils.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\HexTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\Hex.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\binary\StringUtilsTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\binary\StringUtils.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\BinaryEncoderAbstractTest.java,
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\CharEncodingTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\CharEncoding.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\CharsetsTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\Charsets.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\cli\DigestTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\cli\Digest.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\DecoderExceptionTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\DecoderException.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\digest\Apr1CryptTest.java,
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\digest\B64Test.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\digest\B64.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\digest\Blake3Test.java,C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\main\java\org\apache\commons\codec\digest\Blake3.java
C:\Users\simon\Documents\Code\thesis-code\commons-codec-master\src\test\java\org\apache\commons\codec\digest\Blake3TestVectorsTest.java,
