FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\AbstractFileUtilsDeleteDirectoryTest.java,AbstractFileUtilsDeleteDirectoryTest.java,AbstractFileUtilsDeleteDirectoryTest,8,10,115,9,9,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\AbstractOriginTest.java,AbstractOriginTest.java,AbstractOriginTest,33,32,74,18,15,3,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\AbstractRandomAccessFileOriginTest.java,AbstractRandomAccessFileOriginTest.java,AbstractRandomAccessFileOriginTest,10,1,2,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\AbstractStreamBuilderTest.java,AbstractStreamBuilderTest.java,Builder,22,7,21,2,1,1,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\AbstractSupplierTest.java,AbstractSupplierTest.java,Foo,2,9,15,1,1,0,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\ByteArrayOriginTest.java,ByteArrayOriginTest.java,ByteArrayOriginTest,10,9,9,7,6,1,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\ChannelOriginTest.java,ChannelOriginTest.java,ChannelOriginTest,20,9,18,6,5,1,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\CharSequenceOriginTest.java,CharSequenceOriginTest.java,CharSequenceOriginTest,13,12,12,9,8,1,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\FileOriginTest.java,FileOriginTest.java,FileOriginTest,7,3,4,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-io-master\src\test\java\org\apache\commons\io\build\InputStreamOriginTest.java,InputStreamOriginTest.java,InputStreamOriginTest,12,9,9,7,6,1,true,true,false,false,false,false,false,false,false,false
