FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\MapRankingTest.java,MapRankingTest.java,MapRankingTest,9,3,36,3,3,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,8,6,48,5,5,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NeuronTest.java,NeuronTest.java,NeuronTest,2,5,32,5,5,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\oned\NeuronStringTest.java,NeuronStringTest.java,NeuronStringTest,10,3,41,3,3,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\KohonenUpdateActionTest.java,KohonenUpdateActionTest.java,KohonenUpdateActionTest,14,2,20,1,1,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\LearningFactorFunctionFactoryTest.java,LearningFactorFunctionFactoryTest.java,LearningFactorFunctionFactoryTest,3,11,23,11,11,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\NeighbourhoodSizeFunctionFactoryTest.java,NeighbourhoodSizeFunctionFactoryTest.java,NeighbourhoodSizeFunctionFactoryTest,3,9,20,9,9,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\util\ExponentialDecayFunctionTest.java,ExponentialDecayFunctionTest.java,ExponentialDecayFunctionTest,3,5,11,5,5,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\util\QuasiSigmoidDecayFunctionTest.java,QuasiSigmoidDecayFunctionTest.java,QuasiSigmoidDecayFunctionTest,3,4,10,4,4,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\twod\NeuronSquareMesh2DTest.java,NeuronSquareMesh2DTest.java,NeuronSquareMesh2DTest,16,19,220,19,19,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\twod\util\LocationFinderTest.java,LocationFinderTest.java,LocationFinderTest,9,1,17,1,1,0,true,true,false,false,true,false,false,true,false,false
