FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\MapRankingTest.java,MapRankingTest.java,MapRankingTest,testFindClosestNeuron,23,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\MapRankingTest.java,MapRankingTest.java,MapRankingTest,testRankPrecondition,7,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\MapRankingTest.java,MapRankingTest.java,MapRankingTest,testSort,6,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,testGetFeaturesSize,3,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,testDeleteLink,8,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,testDeleteNeuron,8,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,testIdentifierAssignment,5,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,testCopy,18,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,NetworkTest.java,NetworkTest,getIdentifiers,6,1,long[],private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NeuronTest.java,NeuronTest.java,NeuronTest,testGetIdentifier,3,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NeuronTest.java,NeuronTest.java,NeuronTest,testGetSize,3,0,void,public,true,true,true,true
