TestFilePath,ProductionFilePath
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\MapRankingTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\MapRanking.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NetworkTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\Network.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\NeuronTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\Neuron.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\oned\NeuronStringTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\oned\NeuronString.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\KohonenUpdateActionTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\sofm\KohonenUpdateAction.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\LearningFactorFunctionFactoryTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\sofm\LearningFactorFunctionFactory.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\NeighbourhoodSizeFunctionFactoryTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\sofm\NeighbourhoodSizeFunctionFactory.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\util\ExponentialDecayFunctionTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\sofm\util\ExponentialDecayFunction.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\sofm\util\QuasiSigmoidDecayFunctionTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\sofm\util\QuasiSigmoidDecayFunction.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\twod\NeuronSquareMesh2DTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\twod\NeuronSquareMesh2D.java
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\test\java\org\apache\commons\math4\neuralnet\twod\util\LocationFinderTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-neuralnet\src\main\java\org\apache\commons\math4\neuralnet\twod\util\LocationFinder.java
