FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testConstants,7,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testConversions,11,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testEquals,20,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeRadians,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeAboveZero1,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeAboveZero2,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeAboveZero3,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeAroundZero,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeVeryCloseToBounds,13,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testHashCode,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testZero,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testPi,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizeRetainsInputPrecision,6,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\AngleTest.java,AngleTest.java,AngleTest,testNormalizePreciseLowerBound,7,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\CosAngleTest.java,CosAngleTest.java,CosAngleTest,testCosAngle2D,17,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\CosAngleTest.java,CosAngleTest.java,CosAngleTest,testCosAngle3D,7,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\CosAngleTest.java,CosAngleTest.java,CosAngleTest,testCosAngleExtreme,10,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\CosAngleTest.java,CosAngleTest.java,CosAngleTest,testCosAngle_dimensionMismatch,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\ReduceTest.java,ReduceTest.java,ReduceTest,testReduce,13,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\ReduceTest.java,ReduceTest.java,ReduceTest,testNaN,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-angle\src\test\java\org\apache\commons\numbers\angle\ReduceTest.java,ReduceTest.java,ReduceTest,testReduceNegativePeriod,9,0,void,,true,true,true,true
