FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest,testBinomialCoefficientIllegalArguments,1,2,void,,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest,testBinomialCoefficient,1,4,void,,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest,testBinomialCoefficientOverflow,1,2,void,,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest,testBinomialCoefficientLarge,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest.java,BinomialCoefficientDoubleTest,assertBinomial,3,4,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientTest.java,BinomialCoefficientTest.java,BinomialCoefficientTest,testBinomialCoefficientIllegalArguments,1,2,void,,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientTest.java,BinomialCoefficientTest.java,BinomialCoefficientTest,testBinomialCoefficient,3,3,void,,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientTest.java,BinomialCoefficientTest.java,BinomialCoefficientTest,testBinomialCoefficientOverflow,1,2,void,,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\BinomialCoefficientTest.java,BinomialCoefficientTest.java,BinomialCoefficientTest,testBinomialCoefficientLarge,5,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testGetN,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testGetK,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testLexicographicIterator,11,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testLexicographicIteratorThrows,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testLexicographicComparatorWrongIterate1,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testLexicographicComparatorWrongIterate2,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-combinatorics\src\test\java\org\apache\commons\numbers\combinatorics\CombinationsTest.java,CombinationsTest.java,CombinationsTest,testLexicographicComparatorWrongIterate3,4,0,void,,true,true,true,true
