FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,assertComplex,1,6,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,assertComplex,3,7,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,assertComplex,1,8,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,assertComplex,4,9,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testAcos,20,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testAsin,20,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testAtanh,16,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testCosh,34,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testSinh,34,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testTanh,16,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testExp,12,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testLog,48,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,assertLog,6,3,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testSqrt,34,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testDivide,13,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexEdgeCaseTest.java,ComplexEdgeCaseTest.java,ComplexEdgeCaseTest,testPow,10,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,ofReal,1,1,Complex,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,ofImaginary,1,1,Complex,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testJava,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testCartesianConstructor,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testPolarConstructor,21,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testPolarConstructorAbsArg,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testCisConstructor,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testParseAndToString,6,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testParseNull,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testParseEmpty,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testParseWrongStart,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testParseWrongEnd,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-complex\src\test\java\org\apache\commons\numbers\complex\ComplexTest.java,ComplexTest.java,ComplexTest,testParseWrongSeparator,2,0,void,,true,true,true,true
