FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,2,6,10,1,1,0,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,8,36,206,28,28,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,21,141,899,114,21,93,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\EpsilonDoubleEquivalenceTest.java,EpsilonDoubleEquivalenceTest.java,EpsilonDoubleEquivalenceTest,2,15,120,13,13,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ExtendedPrecisionTest.java,ExtendedPrecisionTest.java,ExtendedPrecisionTest,9,8,49,6,4,2,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\MultiplicationTest.java,MultiplicationTest.java,MultiplicationTester,2,6,10,1,1,0,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\NormTest.java,NormTest.java,UlpErrorStats,8,28,220,19,19,0,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\PrecisionTest.java,PrecisionTest.java,CompareToWithUlps,5,46,268,24,24,0,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\SumTest.java,SumTest.java,SumTest,10,21,212,15,12,3,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\TestUtils.java,TestUtils.java,TestUtils,11,8,29,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\UserGuideTest.java,UserGuideTest.java,UserGuideTest,3,16,125,16,16,0,true,true,false,false,false,false,false,false,false,false
