FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,add,1,1,AdditionTester,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,zero,1,0,AdditionTester,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,negate,1,0,AdditionTester,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,equals,4,1,boolean,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,hashCode,1,0,int,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\AdditionTest.java,AdditionTest.java,AdditionTester,testIsZero,2,0,void,,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testGcd,23,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testGcdConsistency,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testGcdLong,24,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testLcm,17,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testLcmLong,19,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPow,23,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowIntOverflow,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowInt,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowNegativeIntOverflow,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowNegativeInt,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowMinusOneInt,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowOneInt,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowLongOverflow,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowLong,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowNegativeLongOverflow,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowNegativeLong,3,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowMinusOneLong,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowOneLong,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testPowEdgeCases,8,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testIsPowerOfTwo,8,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,getIntSpecialCases,13,0,int[],private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,getLongSpecialCases,16,0,long[],private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,toUnsignedLong,1,1,long,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,remainderUnsignedExpected,1,2,int,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,divideUnsignedExpected,1,2,int,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,toUnsignedBigInteger,1,1,BigInteger,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,remainderUnsignedExpected,1,2,long,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,divideUnsignedExpected,1,2,long,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testRemainderUnsignedInt,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testRemainderUnsignedIntSpecialCases,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testRemainderUnsignedLong,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testRemainderUnsignedLongSpecialCases,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testDivideUnsignedInt,10,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testDivideUnsignedIntSpecialCases,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testDivideUnsignedLong,1,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\ArithmeticUtilsTest.java,ArithmeticUtilsTest.java,ArithmeticUtilsTest,testDivideUnsignedLongSpecialCases,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,testOne,3,0,void,,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,testZero,3,0,void,,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,testIsOne,8,0,void,,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,testIsZero,7,0,void,,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,testOfDouble,6,1,void,,false,true,true,false
C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-core\src\test\java\org\apache\commons\numbers\core\DDTest.java,DDTest.java,ErrorStatistics,testOfInt,6,1,void,,false,true,true,false
