App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
examples-jmh,CompressedIndexSetTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\CompressedIndexSetTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\CompressedIndexSet.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\CompressedIndexSetTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\CompressedIndexSet.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
examples-jmh,DoubleDataTransformersTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleDataTransformersTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleDataTransformers.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleDataTransformersTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleDataTransformers.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
examples-jmh,DoubleMathTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleMathTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleMath.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleMathTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\DoubleMath.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
examples-jmh,DualPivotingStrategyTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\DualPivotingStrategyTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\DualPivotingStrategy.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\DualPivotingStrategyTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\DualPivotingStrategy.java,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
examples-jmh,HashIndexSetTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\HashIndexSetTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\HashIndexSet.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\HashIndexSetTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\HashIndexSet.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
examples-jmh,IndexIteratorTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\IndexIteratorTest.java,,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\IndexIteratorTest.java,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,11,0,0,0
examples-jmh,IndexSetTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\IndexSetTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\IndexSet.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\IndexSetTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\IndexSet.java,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
examples-jmh,KthSelectorTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\KthSelectorTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\KthSelector.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\KthSelectorTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\KthSelector.java,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
examples-jmh,PartitionFactoryTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\PartitionFactoryTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\PartitionFactory.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\PartitionFactoryTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\PartitionFactory.java,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
examples-jmh,PartitionTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\test\java\org\apache\commons\numbers\examples\jmh\arrays\PartitionTest.java,C:\Users\simon\Documents\Code\thesis-code\commons-numbers-master\commons-numbers-examples\examples-jmh\src\main\java\org\apache\commons\numbers\examples\jmh\arrays\Partition.java,src\test\java\org\apache\commons\numbers\examples\jmh\arrays\PartitionTest.java,src\main\java\org\apache\commons\numbers\examples\jmh\arrays\Partition.java,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0
