App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
dubbo-cluster,AbsentConfiguratorTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\configurator\absent\AbsentConfiguratorTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3,0,0,0
dubbo-cluster,OverrideConfiguratorTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\configurator\override\OverrideConfiguratorTest.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,4,0,0,0
dubbo-cluster,ConfigParserTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\configurator\parser\ConfigParserTest.java,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
dubbo-cluster,ConfiguratorTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\ConfiguratorTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\ConfiguratorTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
dubbo-cluster,StaticDirectoryTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\directory\StaticDirectoryTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\directory\StaticDirectoryTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
dubbo-cluster,DefaultFilterChainBuilderTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\filter\DefaultFilterChainBuilderTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\filter\DefaultFilterChainBuilderTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
dubbo-cluster,AbstractLoadBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AbstractLoadBalanceTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
dubbo-cluster,AdaptiveLoadBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AdaptiveLoadBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\AdaptiveLoadBalanceTest.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
dubbo-cluster,ConsistentHashLoadBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\ConsistentHashLoadBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\ConsistentHashLoadBalanceTest.java,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,4,0,0,0
dubbo-cluster,LeastActiveBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LeastActiveBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LeastActiveBalanceTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
dubbo-cluster,LoadBalanceBaseTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LoadBalanceBaseTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\LoadBalanceBaseTest.java,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
dubbo-cluster,RandomLoadBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\RandomLoadBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\RandomLoadBalanceTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
dubbo-cluster,RoundRobinLoadBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\RoundRobinLoadBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\RoundRobinLoadBalanceTest.java,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,4,0,0,0
dubbo-cluster,ShortestResponseLoadBalanceTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\ShortestResponseLoadBalanceTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\loadbalance\ShortestResponseLoadBalanceTest.java,,2,0,2,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,2,0
dubbo-cluster,ResultMergerTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\merger\ResultMergerTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\merger\ResultMergerTest.java,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,20,0,0,0
dubbo-cluster,AffinityRouteTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\affinity\AffinityRouteTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\affinity\AffinityRouteTest.java,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,4,0,0,0
dubbo-cluster,ConditionStateRouterTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\condition\ConditionStateRouterTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\condition\ConditionStateRouterTest.java,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,17,0,0,0
dubbo-cluster,ProviderAppConditionStateRouterTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\condition\config\ProviderAppConditionStateRouterTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\condition\config\ProviderAppConditionStateRouterTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
dubbo-cluster,FileRouterEngineTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\file\FileRouterEngineTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\file\FileRouterEngineTest.java,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3,0,0,0
dubbo-cluster,MeshAppRuleListenerTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshAppRuleListenerTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshAppRuleListenerTest.java,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3,0,0,0
dubbo-cluster,MeshRuleCacheTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshRuleCacheTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshRuleCacheTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
dubbo-cluster,MeshRuleManagerTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshRuleManagerTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshRuleManagerTest.java,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3,0,0,0
dubbo-cluster,MeshRuleRouterTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshRuleRouterTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\MeshRuleRouterTest.java,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,4,0,0,0
dubbo-cluster,StandardMeshRuleRouterFactoryTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\StandardMeshRuleRouterFactoryTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\route\StandardMeshRuleRouterFactoryTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
dubbo-cluster,DestinationRuleTest.java,C:\Users\simon\Documents\Code\thesis-code\dubbo-3.3\dubbo-cluster\src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\rule\DestinationRuleTest.java,,src\test\java\org\apache\dubbo\rpc\cluster\router\mesh\rule\DestinationRuleTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
