FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testSerialization,10,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testDeserialization,11,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testDeserializationDirectSelfReference,7,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testAddTypeCustomInstanceCreator,8,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testAddTypeOverwrite,10,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testSerializeListOfLists,10,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testDeserializeListOfLists,9,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testSerializationWithMultipleTypes,7,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testDeserializationWithMultipleTypes,12,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\graph\GraphAdapterBuilderTest.java,GraphAdapterBuilderTest.java,Company,testBuilderReuse,14,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,setUp,1,0,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testExceptionsPropagated,2,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testTopLevelClass,2,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testList,3,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testCollection,3,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testMapKeyAndValues,7,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testField,2,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testCustomTypeAdapter,3,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,write,1,2,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,read,7,1,User,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,testDirectInvocationOfTypeAdapter,3,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,postDeserialize,2,1,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\interceptors\InterceptorTest.java,InterceptorTest.java,AddressValidator,postDeserialize,2,1,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\typeadapters\PostConstructAdapterFactoryTest.java,PostConstructAdapterFactoryTest.java,MultipleSandwiches,test,4,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\typeadapters\PostConstructAdapterFactoryTest.java,PostConstructAdapterFactoryTest.java,MultipleSandwiches,testList,6,0,void,public,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\typeadapters\PostConstructAdapterFactoryTest.java,PostConstructAdapterFactoryTest.java,MultipleSandwiches,validate,1,0,void,private,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\typeadapters\PostConstructAdapterFactoryTest.java,PostConstructAdapterFactoryTest.java,MultipleSandwiches,equals,4,1,boolean,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\extras\src\test\java\com\google\gson\typeadapters\PostConstructAdapterFactoryTest.java,PostConstructAdapterFactoryTest.java,MultipleSandwiches,equals,4,1,boolean,public,false,false,true,false
