FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\CommentsTest.java,CommentsTest.java,CommentsTest,4,1,3,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,12,23,69,0,0,0,true,false,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\DefaultInetAddressTypeAdapterTest.java,DefaultInetAddressTypeAdapterTest.java,DefaultInetAddressTypeAdapterTest,4,2,6,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\DefaultMapJsonSerializerTest.java,DefaultMapJsonSerializerTest.java,DefaultMapJsonSerializerTest,6,3,20,3,3,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\ExposeAnnotationExclusionStrategyTest.java,ExposeAnnotationExclusionStrategyTest.java,MockObject,5,10,19,6,6,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\FieldAttributesTest.java,FieldAttributesTest.java,Foo,8,6,14,5,5,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\FieldNamingPolicyTest.java,FieldNamingPolicyTest.java,Dummy,5,4,20,4,4,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\ArrayTest.java,ArrayTest.java,ArrayTest,14,29,105,28,28,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CircularReferenceTest.java,CircularReferenceTest.java,ClassWithSelfReferenceArray,16,9,34,6,6,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CollectionTest.java,CollectionTest.java,SmallClass,30,37,197,30,30,0,true,false,false,false,true,false,false,false,false,false
