FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\CommentsTest.java,CommentsTest.java,CommentsTest,testParseComments,3,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,serialize,3,3,JsonElement,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,serialize,3,3,JsonElement,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getIntValue,1,0,int,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,8,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,hashCode,7,0,int,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,equals,4,1,boolean,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,toString,1,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,7,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,6,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,equals,1,1,boolean,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,5,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,appendFields,3,1,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,5,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getBag,1,0,BagOfPrimitives,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,1,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getValue,1,0,int,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,5,0,String,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,TestTypes.java,CrazyLongTypeAdapter,getExpectedJson,2,0,String,public,false,false,true,false
