TestFilePath,ProductionFilePath
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\CommentsTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\DefaultInetAddressTypeAdapterTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\DefaultMapJsonSerializerTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\ExposeAnnotationExclusionStrategyTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\FieldAttributesTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\main\java\com\google\gson\FieldAttributes.java
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\FieldNamingPolicyTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\main\java\com\google\gson\FieldNamingPolicy.java
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\ArrayTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CircularReferenceTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CollectionTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\ConcurrencyTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CustomDeserializerTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CustomSerializerTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CustomTypeAdaptersTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\DefaultTypeAdaptersTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\DelegateTypeAdapterTest.java,
C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\EnumTest.java,
