App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
gson,CommentsTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\CommentsTest.java,,CommentsTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
gson,TestTypes.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\common\TestTypes.java,,common\TestTypes.java,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
gson,DefaultInetAddressTypeAdapterTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\DefaultInetAddressTypeAdapterTest.java,,DefaultInetAddressTypeAdapterTest.java,,2,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
gson,DefaultMapJsonSerializerTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\DefaultMapJsonSerializerTest.java,,DefaultMapJsonSerializerTest.java,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0
gson,ExposeAnnotationExclusionStrategyTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\ExposeAnnotationExclusionStrategyTest.java,,ExposeAnnotationExclusionStrategyTest.java,,10,1,0,0,0,0,5,0,0,0,0,0,0,0,,,0,0,0,0,6,0
gson,FieldAttributesTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\FieldAttributesTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\main\java\com\google\gson\FieldAttributes.java,FieldAttributesTest.java,FieldAttributes.java,6,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0
gson,FieldNamingPolicyTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\FieldNamingPolicyTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\main\java\com\google\gson\FieldNamingPolicy.java,FieldNamingPolicyTest.java,FieldNamingPolicy.java,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
gson,ArrayTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\ArrayTest.java,,functional\ArrayTest.java,,29,8,1,0,0,0,0,1,0,0,0,1,0,0,,,4,0,0,0,28,0
gson,CircularReferenceTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CircularReferenceTest.java,,functional\CircularReferenceTest.java,,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,6,0
gson,CollectionTest.java,C:\Users\simon\Documents\Code\thesis-code\gson-main\gson\src\test\java\com\google\gson\functional\CollectionTest.java,,functional\CollectionTest.java,,32,20,5,0,0,0,0,1,0,0,0,0,0,0,,,10,0,0,0,30,0
