FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,7,20,128,7,0,7,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestAll.java,TestAll.java,TestAll,3,2,6,0,0,0,true,true,true,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJChronology.java,TestGJChronology.java,TestGJChronology,5,43,38,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDateTimeField.java,TestGJDateTimeField.java,TestGJDateTimeField,2,3,2,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDayOfMonthField.java,TestGJDayOfMonthField.java,TestGJDayOfMonthField,2,9,12,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDayOfWeekField.java,TestGJDayOfWeekField.java,TestGJDayOfWeekField,2,7,9,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDayOfYearField.java,TestGJDayOfYearField.java,TestGJDayOfYearField,2,9,10,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJMonthOfYearField.java,TestGJMonthOfYearField.java,TestGJMonthOfYearField,2,10,23,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJWeekOfWeekyearField.java,TestGJWeekOfWeekyearField.java,TestGJWeekOfWeekyearField,2,8,13,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJWeekyearField.java,TestGJWeekyearField.java,TestGJWeekyearField,2,10,13,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJYearField.java,TestGJYearField.java,TestGJYearField,2,10,13,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGregorianChronology.java,TestGregorianChronology.java,TestGregorianChronology,0,9,34,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestJulianChronology.java,TestJulianChronology.java,TestJulianChronology,1,13,36,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestJulianDayOfMonthField.java,TestJulianDayOfMonthField.java,TestJulianDayOfMonthField,0,1,1,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestJulianMonthOfYearField.java,TestJulianMonthOfYearField.java,TestJulianMonthOfYearField,0,2,10,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestJulianWeekyearField.java,TestJulianWeekyearField.java,TestJulianWeekyearField,1,4,9,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestJulianYearField.java,TestJulianYearField.java,TestJulianYearField,1,4,9,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestAll.java,TestAll.java,TestAll,4,2,14,0,0,0,true,true,true,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestBuddhistChronology.java,TestBuddhistChronology.java,TestBuddhistChronology,11,18,237,14,0,14,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestCopticChronology.java,TestCopticChronology.java,TestCopticChronology,13,23,355,19,0,19,true,true,false,true,false,false,false,false,false,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestEthiopicChronology.java,TestEthiopicChronology.java,TestEthiopicChronology,13,23,355,19,0,19,true,true,false,true,false,false,false,false,false,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestGJChronology.java,TestGJChronology.java,TestGJChronology,17,35,304,31,0,31,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestGJDate.java,TestGJDate.java,TestGJDate,6,17,40,13,0,13,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\TestGregorianChronology.java,TestGregorianChronology.java,TestGregorianChronology,11,18,199,14,0,14,true,true,false,true,false,false,false,false,false,false
