FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,main,5,1,void,public; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testChronology,9,0,void,public,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testFields,7,3,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testField,41,5,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,getWrappedValue,7,3,int,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testValue,1,6,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testMillis,1,6,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testMillis,1,8,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,testBoolean,1,6,void,private,false,true,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,failValue,6,6,void,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,failMillis,13,6,void,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,failMillis,15,8,void,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,failBoolean,6,6,void,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,makeName,1,2,String,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,makeDatetime,1,1,String,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,makeDatetime,1,2,String,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,makeDate,1,1,String,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,makeDate,1,2,String,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,randomMillis,3,1,long,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,MainTest.java,MainTest,dump,7,2,void,private; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestAll.java,TestAll.java,TestAll,suite,4,0,Test,public; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestAll.java,TestAll.java,TestAll,main,2,1,void,public; static,false,false,true,true
