App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,
joda-time-main,MainTest.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\MainTest.java,,src\test\java\org\joda\time\chrono\gj\MainTest.java,,20,0,1,1,0,0,1,0,0,1,0,0,0,0,,,0,0,6,0,1,0,
joda-time-main,TestAll.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestAll.java,,src\test\java\org\joda\time\chrono\gj\TestAll.java,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJChronology.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJChronology.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\main\java\org\joda\time\chrono\GJChronology.java,src\test\java\org\joda\time\chrono\gj\TestGJChronology.java,src\main\java\org\joda\time\chrono\GJChronology.java,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
joda-time-main,TestGJDateTimeField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDateTimeField.java,,src\test\java\org\joda\time\chrono\gj\TestGJDateTimeField.java,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJDayOfMonthField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDayOfMonthField.java,,src\test\java\org\joda\time\chrono\gj\TestGJDayOfMonthField.java,,9,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJDayOfWeekField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDayOfWeekField.java,,src\test\java\org\joda\time\chrono\gj\TestGJDayOfWeekField.java,,7,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJDayOfYearField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJDayOfYearField.java,,src\test\java\org\joda\time\chrono\gj\TestGJDayOfYearField.java,,9,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJMonthOfYearField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJMonthOfYearField.java,,src\test\java\org\joda\time\chrono\gj\TestGJMonthOfYearField.java,,10,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJWeekOfWeekyearField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJWeekOfWeekyearField.java,,src\test\java\org\joda\time\chrono\gj\TestGJWeekOfWeekyearField.java,,8,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
joda-time-main,TestGJWeekyearField.java,C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\chrono\gj\TestGJWeekyearField.java,,src\test\java\org\joda\time\chrono\gj\TestGJWeekyearField.java,,10,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,
