FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\main\java\org\mockito\internal\junit\TestFinishedEvent.java,TestFinishedEvent.java,TestFinishedEvent,0,2,0,0,0,0,true,true,false,false,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\main\java\org\mockito\internal\runners\util\TestMethodsFinder.java,TestMethodsFinder.java,TestMethodsFinder,2,1,3,0,0,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsRunAllTestsHalfManualTest.java,ThreadsRunAllTestsHalfManualTest.java,AllTestsRunner,65,5,16,1,1,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsShareAMockTest.java,ThreadsShareAMockTest.java,ThreadsShareAMockTest,4,3,7,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsShareGenerouslyStubbedMockTest.java,ThreadsShareGenerouslyStubbedMockTest.java,ThreadsShareGenerouslyStubbedMockTest,5,3,7,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadVerifiesContinuouslyInteractingMockTest.java,ThreadVerifiesContinuouslyInteractingMockTest.java,ThreadVerifiesContinuouslyInteractingMockTest,6,3,8,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\VerificationInOrderFromMultipleThreadsTest.java,VerificationInOrderFromMultipleThreadsTest.java,Foo,5,5,12,1,1,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\AnnotationsAreCopiedFromMockedTypeTest.java,AnnotationsAreCopiedFromMockedTypeTest.java,OnMethod,12,11,25,3,3,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\ArgumentCaptorTest.java,ArgumentCaptorTest.java,Bar,7,5,14,4,4,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\DescriptionTest.java,DescriptionTest.java,Dependency,6,5,11,2,2,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\exceptions\base\MockitoAssertionErrorTest.java,MockitoAssertionErrorTest.java,MockitoAssertionErrorTest,4,3,5,2,2,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\exceptions\base\MockitoExceptionTest.java,MockitoExceptionTest.java,MockitoExceptionTest,4,2,2,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\exceptions\base\MockitoSerializationIssueTest.java,MockitoSerializationIssueTest.java,MockitoSerializationIssueTest,4,2,8,2,2,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\exceptions\stacktrace\StackTraceCleanerTest.java,StackTraceCleanerTest.java,StackTraceCleanerTest,3,4,14,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\AllInvocationsFinderTest.java,AllInvocationsFinderTest.java,AllInvocationsFinderTest,15,6,25,4,4,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\ClassPathLoaderTest.java,ClassPathLoaderTest.java,ClassPathLoaderTest,7,2,4,1,1,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\GlobalConfigurationTest.java,GlobalConfigurationTest.java,CustomAnnotationEngine,9,4,5,1,1,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\injection\ConstructorInjectionTest.java,ConstructorInjectionTest.java,ArgConstructor,11,4,8,1,1,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\injection\SimpleArgumentResolverTest.java,SimpleArgumentResolverTest.java,SimpleArgumentResolverTest,5,4,19,3,3,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\MockAnnotationProcessorTest.java,MockAnnotationProcessorTest.java,WrongNumberOfArgsTest,18,8,12,4,4,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\MockInjectionTest.java,MockInjectionTest.java,AnObjectWithoutConstructor,10,12,17,8,8,0,true,false,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\plugins\DefaultMockitoPluginsTest.java,DefaultMockitoPluginsTest.java,DefaultMockitoPluginsTest,15,4,12,4,4,0,true,true,false,false,true,false,false,true,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\plugins\PluginFileReaderTest.java,PluginFileReaderTest.java,PluginFileReaderTest,7,3,13,2,2,0,true,true,false,false,true,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\mockito\internal\configuration\plugins\PluginFinderTest.java,PluginFinderTest.java,PluginFinderTest,16,8,35,8,8,0,true,true,false,false,true,false,false,true,false,false
