FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\main\java\org\mockito\internal\junit\TestFinishedEvent.java,TestFinishedEvent.java,TestFinishedEvent,getFailure,0,0,Throwable,,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\main\java\org\mockito\internal\junit\TestFinishedEvent.java,TestFinishedEvent.java,TestFinishedEvent,getTestName,0,0,String,,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\main\java\org\mockito\internal\runners\util\TestMethodsFinder.java,TestMethodsFinder.java,TestMethodsFinder,hasTestMethods,3,1,boolean,public; static,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsRunAllTestsHalfManualTest.java,ThreadsRunAllTestsHalfManualTest.java,AllTestsRunner,run,2,0,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsRunAllTestsHalfManualTest.java,ThreadsRunAllTestsHalfManualTest.java,AllTestsRunner,getFailed,1,0,Set<Class<?>>,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsRunAllTestsHalfManualTest.java,ThreadsRunAllTestsHalfManualTest.java,AllTestsRunner,shouldRunInMultipleThreads,1,0,void,public,true,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsRunAllTestsHalfManualTest.java,ThreadsRunAllTestsHalfManualTest.java,AllTestsRunner,runInMultipleThreads,6,1,Set<Class<?>>,public; static,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsRunAllTestsHalfManualTest.java,ThreadsRunAllTestsHalfManualTest.java,AllTestsRunner,main,6,1,void,public; static,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsShareAMockTest.java,ThreadsShareAMockTest.java,ThreadsShareAMockTest,shouldAllowVerifyingInThreads,1,0,void,public,true,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsShareAMockTest.java,ThreadsShareAMockTest.java,ThreadsShareAMockTest,performTest,5,0,void,private,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-core\src\test\java\org\concurrentmockito\ThreadsShareAMockTest.java,ThreadsShareAMockTest.java,ThreadsShareAMockTest,run,1,0,void,public,false,false,true,true
