FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest,setUp,2,0,void,public,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest,testPositiveCases,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest,testNegativeCases,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest,testPositivesSubclass,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest.java,MockitoAnyClassWithPrimitiveTypeTest,testRefactoring,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest,setUp,2,0,void,public,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest,testPositiveCases,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest,testNegativeCases,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest,testPositivesSubclass,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest.java,MockitoAnyIncorrectPrimitiveTypeTest,testRefactoring,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoInternalUsageTest.java,MockitoInternalUsageTest.java,MockitoInternalUsageTest,setUp,1,0,void,public,false,false,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoInternalUsageTest.java,MockitoInternalUsageTest.java,MockitoInternalUsageTest,testPositiveCases,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoInternalUsageTest.java,MockitoInternalUsageTest.java,MockitoInternalUsageTest,testPositiveImportsCases,1,0,void,public,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-errorprone\src\test\java\org\mockito\errorprone\bugpatterns\MockitoInternalUsageTest.java,MockitoInternalUsageTest.java,MockitoInternalUsageTest,testNegativeCases,1,0,void,public,true,true,true,true
