FilePath,FileName,ClassName,MethodName,TotalStatements,TotalParameters,ReturnType,AccessModifier,MethodHasAnnotation,MethodHasTestInName,FileHasTestInName,ClassHasTestInName
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\annotation\CaptorAnnotationWithPrimitiveTest.java,CaptorAnnotationWithPrimitiveTest.java,Foo,doSomething,0,1,void,,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\annotation\CaptorAnnotationWithPrimitiveTest.java,CaptorAnnotationWithPrimitiveTest.java,Foo,shouldCaptorPrimitive,4,1,void,public,true,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockMultipleMatchesTest.java,GenericTypeMockMultipleMatchesTest.java,UnderTestWithMultipleCandidatesByType,beforeEach,1,1,void,public,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockMultipleMatchesTest.java,GenericTypeMockMultipleMatchesTest.java,UnderTestWithMultipleCandidatesByType,startMocking,2,1,void,private,false,false,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockMultipleMatchesTest.java,GenericTypeMockMultipleMatchesTest.java,UnderTestWithMultipleCandidatesByType,testMultipleCandidatesByTypes,1,0,void,,true,true,true,false
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testSingleTypeParam,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testWildcard,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testNestedTypeParameters,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testGenericSubclass,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testMultipleCandidatesOneByName,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testNoneMatchByTypeParameter,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testNoneMatchByRawType,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testWithTypeParameterNoMatch,2,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testWithTypeParameters,4,0,void,,true,true,true,true
C:\Users\simon\Documents\Code\thesis-code\mockito-main\mockito-extensions\mockito-junit-jupiter\src\test\java\org\mockitousage\GenericTypeMockTest.java,GenericTypeMockTest.java,UnderTest,testWithTypeParameters,2,0,void,,true,true,true,true
