instance_id,type,system,original_test,test_path,targets
AA_0001,GF,commons-lang,TestMethodUtils,org.apache.commons.lang3.reflect,['org.apache.commons.lang3.reflect.MethodUtils']
AA_0002,UT,commons-lang,FunctionsTest,org.apache.commons.lang3,['org.apache.commons.lang3.Functions']
AA_0003,LT/5,commons-lang,NumberUtilsTest,org.apache.commons.lang3.math,['org.apache.commons.lang3.math.NumberUtils']
AA_0004,IgT,commons-lang,StringUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.StringUtils']
AA_0005,IgT,commons-lang,ObjectUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ObjectUtils']
AA_0006,IgT,commons-lang,ArrayUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ArrayUtils']
AA_0007,IgT,commons-lang,BooleanUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.BooleanUtils']
AA_0008,IgT,commons-lang,EnumUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.EnumUtils']
AA_0009,GF,joda-time,TestDateTimeComparator,org.joda.time,['org.joda.time.DateTimeComparator']
AA_0010,GF,joda-time,TestLongConverter,org.joda.time.convert,['org.joda.time.convert.LongConverter']
AA_0011,EmT/f,joda-time,TestDurationField,org.joda.time,['org.joda.time.DurationField']
AA_0012,EmT/f,joda-time,TestDateTimeUtils,org.joda.time,['org.joda.time.DateTimeUtils']
AA_0013,UT,joda-time,TestDateTimeConstants,org.joda.time,['org.joda.time.DateTimeConstants']
AA_0014,EmT/f,joda-time,TestDateTimeZone,org.joda.time,['org.joda.time.DateTime']
AA_0015,UT,joda-time,TestDateTimeZone,org.joda.time,['org.joda.time.DateTime']
AA_0016,UT,joda-time,TestZoneInfoCompiler,org.joda.time.tz,['org.joda.time.tz.ZoneInfoCompiler']
AA_0017,LT/4,joda-time,TestDateTimeFormat,org.joda.time.format,"['org.joda.time.format.DateTimeFormat','org.joda.time.DateTime','org.joda.time.format.DateTimeFormatter']"
AA_0018,ET,joda-time,TestEthiopicChronology,org.joda.time.chrono,['org.joda.time.chrono.EthiopicChronology']
AA_0019,ET,joda-time,TestCopticChronology,org.joda.time.chrono,['org.joda.time.chrono.CopticChronology']
AA_0020,ET,joda-time,TestBuddhistChronology,org.joda.time.chrono,['org.joda.time.chrono.BuddhistChronology']
AA_0021,LT/4,joda-time,TestDateTimeFormatStyle,org.joda.time.format,"['org.joda.time.DateTime','org.joda.time.format.DateTimeFormatter']"
AA_0022,ET,joda-time,TestDateTimeFormat,org.joda.time.format,['org.joda.time.format.DateTimeFormat']
AA_0023,LT/4,joda-time,TestPeriodFormat,org.joda.time.format,['org.joda.time.Period']
AA_0024,EmT,commons-math/commons-math-legacy,SpearmansRankCorrelationTest,org.apache.commons.math4.legacy.stat.correlation,['org.apache.commons.math4.legacy.stat.correlation.SpearmansCorrelation']
AA_0025,RP,commons-math/commons-math-legacy,UnivariateSolverUtilsTest,org.apache.commons.math4.legacy.analysis.solvers,['org.apache.commons.math4.legacy.analysis.solvers.UnivariateSolverUtils']
AA_0026,GF,gson/gson,DefaultDateTypeAdapterTest,com.google.gson.internal.bind,['com.google.gson.internal.bind.DefaultDateTypeAdapter']
AA_0027,GF,gson/gson,ExclusionStrategyFunctionalTest,com.google.gson.functional,"['com.google.gson.ExclusionStrategy','com.google.gson.Gson']"
AA_0028,CTL,gson/gson,ArrayTest,com.google.gson.functional,['com.google.gson.Gson']
AA_0029,CTL,gson/gson,LinkedTreeMapTest,com.google.gson.internal,['com.google.gson.internal.LinkedTreeMap']
AA_0030,LT/4,gson/gson,JsonPrimitiveTest,com.google.gson,['com.google.gson.JsonPrimitive']
AA_0031,ET,gson/gson,JsonArrayTest,com.google.gson,"['com.google.gson.JsonArray','com.google.gson.Gson']"
AA_0032,CTL,gson/gson,CollectionTest,com.google.gson.functional,['com.google.gson.Gson']
AA_0033,LT/5,commons-lang,ArrayUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ArrayUtils']
AA_0034,LT/5,commons-lang,ArrayUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ArrayUtils']
AA_0035,ET,joda-time,TestPeriodFormat,org.joda.time.format,['org.joda.time.Period']
AA_0036,LT/5,commons-lang,ArrayUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ArrayUtils']
AA_0037,LT/5,commons-lang,ArrayUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ArrayUtils']
AA_0038,UT,joda-time,TestGJChronology,org.joda.time.chrono,"['org.joda.time.chrono.GJChronology','org.joda.time.DateTime']"
AA_0039,LT/4,commons-lang,ArrayUtilsTest,org.apache.commons.lang3,['org.apache.commons.lang3.ArrayUtils']
AA_0040,LT/4,joda-time,TestDateTimeFormat,org.joda.time.format,"['org.joda.time.format.DateTimeFormat','org.joda.time.DateTime','org.joda.time.format.DateTimeFormatter']"
