Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772123722463,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.8203353881835938,5.265411376953125,20.230026245117188,48.32503128051758,51.54669952392578,12.294502258300781,6.854866027832031,68.3006591796875,10.861106872558594,87.64456939697266,23.08185577392578,100,58935.906799316406,205624.70904541016,129506.09185791016,3121.7392578125,16919126016,28991029248,5812006912,0
199,1772123722464,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,0.43743896484375,67.95744323730469,63.70234298706055,100,0,74.83720397949219,9.509368896484375,3.1167678833007813,100,100,100,58935.91027832031,205624.78564453125,129506.17181396484,3121.7392578125,16919126016,28991029248,5812039680,0
200,1772123722664,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,11.363868713378906,85.82621765136719,50.540992736816406,48.646507263183594,42.07820510864258,32.37873840332031,32.21308135986328,59.12272644042969,29.414833068847656,50.0173454284668,58.44188690185547,49.48974609375,58936.22528076172,205632.4711303711,129513.36999511719,3121.7415161132813,16919126016,28991029248,5909184512,0
200,1772123722864,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,35.76195526123047,69.12777709960938,63.37056350708008,72.46514129638672,39.631141662597656,78.8795394897461,49.13361740112305,68.79536437988281,49.01524353027344,54.39720916748047,55.42605209350586,67.66188049316406,58936.578369140625,205639.71630859375,129520.10137939453,3121.7415161132813,16919126016,28991029248,5911269376,0
200,1772123723064,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,24.693016052246094,52.53908157348633,42.399837493896484,54.69782638549805,18.67669677734375,59.02101516723633,24.45464324951172,59.38054656982422,36.48249816894531,56.26920700073242,46.67393112182617,51.04646301269531,58936.91320800781,205648.0682373047,129527.9702758789,3121.7415161132813,16919126016,28991029248,5941272576,0
199,1772123723265,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,10.961448669433594,38.07596969604492,51.238285064697266,53.40211868286133,19.2542724609375,36.118919372558594,17.86011505126953,64.2593994140625,36.549049377441406,51.17879104614258,50.37947082519531,57.41169738769531,58937.24938964844,205656.37377929688,129535.81335449219,3121.74267578125,16919126016,28991029248,5938098176,0
200,1772123723465,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,23.553817749023438,38.407108306884766,53.013160705566406,49.645652770996094,23.643890380859375,35.17558288574219,22.169509887695313,61.969966888427734,26.50902557373047,58.329044342041016,50.0632438659668,49.93455505371094,58937.59851074219,205664.65783691406,129543.60559082031,3121.74267578125,16919126016,28991029248,5966209024,0
200,1772123723665,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,27.175140380859375,52.60578918457031,44.827030181884766,65.84237670898438,33.98760986328125,57.29888153076172,33.421051025390625,74.955810546875,47.021080017089844,63.809654235839844,25.763389587402344,74.31851959228516,58938.02233886719,205672.18212890625,129550.6142578125,3121.74267578125,16919126016,28991029248,5988642816,0
199,1772123723865,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,13.784500122070313,58.9213752746582,32.82457733154297,73.87078857421875,39.4388542175293,43.04767990112305,19.504714965820313,73.45606994628906,33.694061279296875,67.07707977294922,26.574050903320313,66.72529602050781,58938.44616699219,205680.078125,129557.96697998047,3121.7437744140625,16919126016,28991029248,6019231744,0
200,1772123724066,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,67.21367645263672,39.3062858581543,40.04907989501953,76.94027709960938,29.594520568847656,85.79815673828125,33.165687561035156,71.82858276367188,49.58317565917969,68.0576171875,30.502197265625,72.65773010253906,58938.87957763672,205687.2938232422,129564.67150878906,3121.7437744140625,16919126016,28991029248,6020210688,0
