Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1776442250401,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,18269.592651367188,219097.3110961914,190401.63928222656,1869.7002563476563,16919126016,26843545600,7980150784,0
200,1776442250401,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,18269.59539794922,219097.48205566406,190401.7694091797,1869.7002563476563,16919126016,26843545600,7980236800,0
196,1776442250605,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.3056488037109375,1.5174942016601563,2.844879150390625,2.4286880493164063,1.8249053955078125,1.6054611206054688,5.8663787841796875,2.5969696044921875,2.5473556518554688,2.2822723388671875,3.335418701171875,3.1855621337890625,18269.739135742188,219099.34478759766,190403.20733642578,1869.7028198242188,16919126016,26843545600,7979986944,0
200,1776442250802,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.2846527099609375,1.5799179077148438,2.1436004638671875,2.8615570068359375,1.6579818725585938,1.6076736450195313,2.5558700561523438,2.358001708984375,1.904052734375,2.5255050659179688,2.1161422729492188,2.9315109252929688,18269.86602783203,219100.48193359375,190403.98321533203,1869.7028198242188,16919126016,26843545600,7978381312,0
200,1776442251002,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.172088623046875,0.07180023193359375,0.7227706909179688,0.877044677734375,0.0276947021484375,0,1.6134414672851563,1.1612930297851563,0.5791778564453125,0.9959945678710938,0.6778640747070313,1.277252197265625,18269.999877929688,219101.68103027344,190404.78424072266,1869.7037353515625,16919126016,26843545600,7977844736,0
200,1776442251203,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.24448394775390625,0.48177337646484375,1.228546142578125,1.6238021850585938,0.739532470703125,0.7161178588867188,0.7634963989257813,1.67462158203125,0.8160171508789063,0.8362884521484375,1.907073974609375,5.8523712158203125,18270.135803222656,219103.1435546875,190405.84301757813,1869.7037353515625,16919126016,26843545600,7975919616,0
200,1776442251403,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.1124725341796875,0.28260040283203125,0.641143798828125,1.3343887329101563,0.1999053955078125,0.38469696044921875,0.243377685546875,0.750885009765625,0.5170364379882813,1.4018630981445313,0.72991943359375,1.3239593505859375,18270.264221191406,219104.27569580078,190406.62872314453,1869.7037353515625,16919126016,26843545600,7979245568,0
200,1776442251604,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.69732666015625,0.7436676025390625,5.1702423095703125,3.8883285522460938,3.417877197265625,1.127471923828125,5.755775451660156,7.231529235839844,11.84881591796875,5.80291748046875,6.978523254394531,2.6947174072265625,18270.422119140625,219108.67602539063,190410.59997558594,1869.7047119140625,16919126016,26843545600,7972945920,0
200,1776442251804,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.44957733154296875,0.25537109375,0.5597152709960938,0.8131790161132813,0.08182525634765625,0.03260040283203125,0.6122817993164063,1.668548583984375,0.44348907470703125,1.1931610107421875,0.7156753540039063,0.9012985229492188,18270.550842285156,219109.75262451172,190411.3189086914,1869.7047119140625,16919126016,26843545600,7973011456,0
200,1776442252005,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.1161651611328125,0.04608917236328125,0.7573928833007813,0.7317047119140625,0,0.1130218505859375,1.42181396484375,1.5420684814453125,0.20709228515625,0.8114089965820313,0.47637939453125,1.324005126953125,18270.680541992188,219110.85528564453,190412.07342529297,1869.7060546875,16919126016,26843545600,7971987456,0
200,1776442252205,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.1732025146484375,0.7706375122070313,0.643096923828125,1.0615615844726563,0.35491943359375,0.5794525146484375,2.4318313598632813,5.462654113769531,1.006439208984375,1.3359832763671875,0.6919937133789063,1.425048828125,18270.818420410156,219112.2596435547,190413.0770263672,1869.7060546875,16919126016,26843545600,7971135488,0
200,1776442252406,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.9713516235351563,0.22054290771484375,0.25003814697265625,1.0579071044921875,0.6046676635742188,0.04604339599609375,0.5476608276367188,0.5867767333984375,0.4272308349609375,1.5249481201171875,1.1158065795898438,2.0150604248046875,18270.94854736328,219113.34399414063,190413.79296875,1869.7060546875,16919126016,26843545600,7979630592,0
200,1776442252606,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.2558670043945313,0.33392333984375,1.1040802001953125,1.5482864379882813,0.2954559326171875,0.25150299072265625,1.0370559692382813,0.844757080078125,0.5335006713867188,0.7859039306640625,0.5830841064453125,3.2360458374023438,18271.08575439453,219114.70153808594,190414.75494384766,1869.7071533203125,16919126016,26843545600,7979438080,0
