Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1779478751780,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,4.295417785644531,2.4810333251953125,0,0,0,1.6736373901367188,98.25086975097656,31.163230895996094,7.265235900878906,0.3109283447265625,12234.296691894531,93972.60241699219,80737.7631225586,138.5953369140625,16919126016,20401094656,8079110144,0
196,1779478751783,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,45.825721740722656,0,0,0,0,0,26.48235321044922,20.074058532714844,0,12234.302490234375,93972.90802001953,80738.05822753906,138.5953369140625,16919126016,20401094656,8079192064,0
199,1779478751980,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.3234710693359375,1.6665115356445313,40.71828079223633,18.989349365234375,5.209648132324219,2.1492156982421875,6.291717529296875,41.625030517578125,13.640289306640625,22.514503479003906,24.397262573242188,19.853309631347656,12234.480834960938,93984.72979736328,80749.55645751953,138.5953369140625,16919126016,20401094656,8131706880,0
200,1779478752180,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.1128616333007813,5.031707763671875,25.17693328857422,40.70273971557617,7.4447174072265625,7.08502197265625,18.787269592285156,46.37196350097656,13.349472045898438,53.03660583496094,28.943359375,40.405975341796875,12234.70703125,93998.62335205078,80763.09643554688,138.59771728515625,16919126016,20401094656,8168325120,0
199,1779478752380,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.8101654052734375,5.38916015625,45.33313751220703,25.14013671875,3.6796340942382813,4.73712158203125,10.344223022460938,47.40920639038086,15.567863464355469,38.7080078125,30.45771026611328,34.91907501220703,12234.930297851563,94012.39532470703,80776.53576660156,138.59771728515625,16919126016,20401094656,8176046080,0
200,1779478752581,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.3628768920898438,3.5733108520507813,27.250511169433594,30.61638641357422,12.837944030761719,5.877967834472656,9.536712646484375,40.04933166503906,14.592323303222656,30.174530029296875,7.8449859619140625,34.78193664550781,12235.152954101563,94023.12109375,80786.92492675781,138.59771728515625,16919126016,20401094656,8119963648,0
200,1779478752781,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.1734237670898438,3.1885528564453125,34.63282775878906,26.08343505859375,4.9578704833984375,2.8368911743164063,11.432891845703125,42.89018630981445,9.898323059082031,32.11241912841797,21.116683959960938,27.55821990966797,12235.337768554688,94035.40185546875,80798.89123535156,138.5986328125,16919126016,20401094656,8149909504,0
200,1779478752981,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,27.341514587402344,9.808616638183594,44.48307418823242,47.427310943603516,15.796577453613281,21.06629180908203,31.03125,44.8537483215332,30.48516845703125,40.76758575439453,33.531982421875,44.40245819091797,12235.656616210938,94051.34997558594,80814.41015625,138.5986328125,16919126016,20401094656,8171167744,0
200,1779478753182,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,9.770011901855469,17.709365844726563,31.626060485839844,49.06291961669922,23.219039916992188,20.820655822753906,11.134101867675781,52.793155670166016,20.54113006591797,49.62306594848633,25.81682586669922,42.06503677368164,12235.961608886719,94064.97497558594,80827.65789794922,138.5986328125,16919126016,20401094656,8198356992,0
200,1779478753382,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.5303268432617188,5.261177062988281,35.727333068847656,9.001075744628906,13.503837585449219,3.0790939331054688,5.25274658203125,29.822174072265625,6.95977783203125,19.240623474121094,27.108932495117188,15.733535766601563,12236.151184082031,94074.13720703125,80836.56378173828,138.59967041015625,16919126016,20401094656,8126922752,0
