Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1776038166638,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0,0,0,0,0,0,0,0,0,0,0,0,152850.91278076172,36910.46838378906,219844.97576904297,12957.430908203125,16919126016,26843545600,7160836096,0
196,1776038166641,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,100,100,100,100,100,100,100,100,100,100,100,100,152850.91766357422,36910.75567626953,219845.25396728516,12957.430908203125,16919126016,26843545600,7161122816,0
200,1776038166838,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,6.409889221191406,9.277572631835938,67.88728332519531,14.037712097167969,10.304008483886719,5.617256164550781,8.111289978027344,41.234588623046875,11.929275512695313,13.918304443359375,21.641738891601563,20.078582763671875,152851.09173583984,36923.49255371094,219857.6675415039,12957.430908203125,16919126016,26843545600,7211757568,0
200,1776038167039,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.4515609741210938,5.977668762207031,43.27977752685547,25.84569549560547,6.093482971191406,7.751304626464844,5.361083984375,49.13764190673828,14.311813354492188,35.81804656982422,24.514938354492188,36.54115676879883,152851.30139160156,36937.96942138672,219871.77465820313,12957.430908203125,16919126016,26843545600,7244271616,0
200,1776038167239,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.0143661499023438,5.7761688232421875,51.0075569152832,17.1500244140625,5.9319915771484375,4.773719787597656,4.42864990234375,42.61578369140625,12.713043212890625,28.03221893310547,20.94660186767578,31.210594177246094,152851.5220336914,36952.21276855469,219885.69262695313,12957.432006835938,16919126016,26843545600,7227793408,0
199,1776038167440,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.1191787719726563,1.4303131103515625,65.97747802734375,9.810577392578125,13.192146301269531,0.6167144775390625,2.6410903930664063,36.37359619140625,10.405189514160156,11.938468933105469,15.578575134277344,16.59980010986328,152851.70867919922,36965.709411621094,219898.85260009766,12957.432006835938,16919126016,26843545600,7215222784,0
200,1776038167640,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.3067245483398438,7.3453826904296875,32.78041076660156,35.451080322265625,6.237403869628906,8.767951965332031,13.857826232910156,46.37961959838867,14.951324462890625,44.38502502441406,28.26385498046875,33.02040100097656,152851.93127441406,36980.75549316406,219913.5482788086,12957.432006835938,16919126016,26843545600,7250989056,0
200,1776038167840,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.948455810546875,3.0166397094726563,52.57217025756836,19.660232543945313,2.8235626220703125,3.1252822875976563,6.1201019287109375,44.109375,13.575584411621094,21.904823303222656,22.99701690673828,26.055442810058594,152852.14978027344,36995.289001464844,219927.7261352539,12957.43310546875,16919126016,26843545600,7185133568,0
200,1776038168041,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,0.6805191040039063,1.7070083618164063,66.84376525878906,11.741691589355469,4.820274353027344,2.6215591430664063,2.3106460571289063,42.180233001708984,2.438232421875,19.929359436035156,23.450820922851563,16.128196716308594,152852.32849121094,37009.28918457031,219941.34411621094,12957.43310546875,16919126016,26843545600,7223046144,0
200,1776038168241,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.6739501953125,9.481704711914063,37.913307189941406,35.43145751953125,7.572845458984375,9.784957885742188,10.655860900878906,45.9673957824707,17.938217163085938,38.376041412353516,23.41907501220703,37.37384796142578,152852.56829833984,37024.275329589844,219955.99969482422,12957.434204101563,16919126016,26843545600,7262986240,0
200,1776038168441,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.8552093505859375,2.0285491943359375,54.02015686035156,11.937614440917969,3.3159027099609375,2.1646347045898438,11.879348754882813,34.184112548828125,11.177345275878906,19.475051879882813,21.010223388671875,21.80388641357422,152852.77478027344,37037.566955566406,219968.88177490234,12957.434204101563,16919126016,26843545600,7198588928,0
200,1776038168642,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.1080474853515625,2.7812576293945313,68.92391967773438,9.418441772460938,9.131454467773438,2.7244033813476563,2.6440277099609375,40.8544921875,2.7245025634765625,21.753631591796875,15.979148864746094,26.593063354492188,152852.9500732422,37051.92883300781,219982.93145751953,12957.434204101563,16919126016,26843545600,7225139200,0
200,1776038168842,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2.3956527709960938,5.8474578857421875,45.27470397949219,26.22039031982422,5.267402648925781,7.369087219238281,11.014511108398438,47.64519119262695,14.309745788574219,38.714088439941406,21.327987670898438,41.71126174926758,152853.18322753906,37066.452087402344,219997.1157836914,12957.435363769531,16919126016,26843545600,7257010176,0
200,1776038169042,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,3.369598388671875,3.1052017211914063,52.02374267578125,15.650726318359375,2.3918533325195313,1.4339828491210938,3.0282516479492188,36.974117279052734,12.786857604980469,14.065093994140625,23.3829345703125,16.94139862060547,152853.38165283203,37079.36413574219,220009.64630126953,12957.435363769531,16919126016,26843545600,7198949376,0
200,1776038169243,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,1.1577377319335938,3.292572021484375,60.39686584472656,16.37659454345703,7.469093322753906,1.6127090454101563,5.030601501464844,44.150123596191406,6.451240539550781,16.84264373779297,22.61162567138672,22.78778076171875,152853.5620727539,37093.75207519531,220023.7177734375,12957.435363769531,16919126016,26843545600,7230595072,0
200,1776038169443,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193,9.010871887207031,3.5741729736328125,44.7601203918457,30.820755004882813,3.9154739379882813,9.750862121582031,9.686882019042969,45.89999008178711,15.394821166992188,42.826629638671875,22.253807067871094,35.95850372314453,152853.80200195313,37108.752197265625,220038.2788696289,12957.436584472656,16919126016,26843545600,7255150592,0
